,ind,E(FF),E_ia(FF),E_ia(PBE),Sort(FF),Sort(PBE)
12,13.0,-11.984484,-8.782832,-21.81538986088708,6,1
13,14.0,-11.987028,-10.379167,-21.71494336333126,1,2
5,6.0,-11.983061,-7.889491,-18.86882460862398,16,3
15,16.0,-11.985046,-9.134995,-11.326242022681981,4,4
1,2.0,-11.984752,-8.950789,-9.530757400672883,5,5
0,1.0,-11.983274,-8.023251,-9.153365883044899,11,6
7,8.0,-11.986823,-10.25043,-8.925636344589293,3,7
2,3.0,-11.984321,-8.680067,-8.576120893936604,8,8
8,9.0,-11.98702,-10.373748,-8.392953660339117,2,9
3,4.0,-11.983835,-8.375348,-8.285909431055188,9,10
14,15.0,-11.983151,-7.946068,-8.187389504630119,13,11
11,12.0,-11.984469,-8.773411,-7.43063245434314,7,12
9,10.0,-11.983482,-8.15383,-6.861350839491934,10,13
4,5.0,-11.983142,-7.940711,-6.410008903592825,14,14
10,11.0,-11.983158,-7.950681,-5.5463774390518665,12,15
6,7.0,-11.983083,-7.903193,-2.754019561689347,15,16
