conf. Nr,"$E_{el,GFN-FF}$",GFN-FF Nr,"\DE{int}{el,GFN_FF}",PBE Nr,"$E_	ext{el,PBE}$","\DE{int}{el,PBE}"
6,-53.459001472,15,-45.502188256000004,1,-13002759.564745473,-77.91553778015077
11,-53.475227024000006,1,-55.682450200000005,2,-13002754.894085016,-73.24487732350826
15,-53.46265828799999,13,-47.796262904,3,-13002750.52698185,-68.87777415663004
7,-53.467976152000006,10,-51.1333962,4,-13002749.456370639,-67.8071629460901
2,-53.458930344,16,-45.457134944,5,-13002740.124402631,-58.475194938480854
9,-53.47340698399999,3,-54.539724488,6,-13002738.75947004,-57.11026234738529
8,-53.473281464,4,-54.462278648,7,-13002738.388179176,-56.73897148296237
16,-53.470904952,7,-52.969757984,8,-13002736.643234383,-54.99402669072151
10,-53.47032756,8,-52.608791752,9,-13002729.189902294,-47.54069460183382
3,-53.47324380799999,5,-54.437530288000005,10,-13002717.435287056,-35.78607936389744
1,-53.473858856,2,-54.823069152,11,-13002715.904268993,-34.255061300471425
13,-53.46729416,11,-50.70438557599999,12,-13002710.161031157,-28.511823464185
5,-53.460649968000006,14,-46.535427056,13,-13002709.92761133,-28.27840363793075
14,-53.47250742400001,6,-53.976817496,14,-13002708.05953879,-26.41033109650016
4,-53.462951168000004,12,-47.97888613599999,15,-13002705.064879544,-23.415671851485968
12,-53.469729248,9,-52.232286144,16,-13002702.32782539,-20.67861769720912
