,T[K],Cv[eV/mol/K]
0,0.0,
1,1.0,0.04187499567952189
2,2.0,0.0836736365896341
3,3.0,0.12597264770441743
4,4.0,0.16955155397225333
5,5.0,0.21561347426550379
6,6.0,0.2667224754637602
7,7.0,0.32582460183592704
8,8.0,0.3952323260447839
9,9.0,0.47634592157768346
10,10.0,0.5698397357464872
11,11.0,0.6759626844034032
12,12.0,0.7947843229971517
13,13.0,0.9263461498292954
14,14.0,1.070731629407777
15,15.0,1.22808194603416
16,16.0,1.3985820049990965
17,17.0,1.5824342950978205
18,18.0,1.7798314892698406
19,19.0,1.9909334913938677
20,20.0,2.215851163023908
