conf. Nr,"$E_{el,GFN-FF}$",GFN-FF Nr,"\DE{int}{el,GFN_FF}",PBE Nr,"$E_	ext{el,PBE}$","\DE{int}{el,PBE}"
11,-50.022037936000004,1,-42.670109784000005,1,-10440299.113107052,-29.227288538590074
12,-50.013573703999995,16,-37.360760224,2,-10440298.46977303,-28.583954516798258
10,-50.019941752,9,-41.354706208,3,-10440298.424787309,-28.538968795910478
14,-50.01681212,10,-39.391155008,4,-10440298.110407013,-28.224588500335813
15,-50.01674517599999,13,-39.349373584,5,-10440296.465385057,-26.57956654392183
5,-50.02005053600001,6,-41.425022512,6,-10440295.91216005,-26.02634153701365
9,-50.021188583999994,3,-42.139026296000004,7,-10440295.686675427,-25.800856914371252
4,-50.020017063999994,7,-41.403006303999994,8,-10440295.474947287,-25.589128773659468
6,-50.02201701599999,2,-42.658009656,9,-10440294.70907817,-24.823259657248855
1,-50.020289024,5,-41.573880864,10,-10440294.369212808,-24.483394294977188
7,-50.016807936,11,-39.388602768,11,-10440294.226666799,-24.34084828570485
8,-50.016109207999996,14,-38.950261824,12,-10440294.069948297,-24.18412978388369
2,-50.020289024,4,-41.574299264000004,13,-10440293.721775537,-23.835957024246454
3,-50.020000327999995,8,-41.391508672,14,-10440293.330516046,-23.44469753280282
13,-50.014841456,15,-38.155962896,15,-10440290.825308202,-20.93948968872428
16,-50.016803751999994,12,-39.386017056,16,-10440289.78021687,-19.894398357719183
